secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,0,0.0003,0,0,0,41,144.413,-37.8876,0,0,25,0,-255,0,0,0,0,0,0,0,0
2,0,0,0.00056,0,0,0,41,144.413,-37.8876,0,0,25,0,-255,0,0,0,0,0,0,0,0
3,0,0,0.00056,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
4,0,0,0.00056,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
5,0,0,0.00056,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
6,0,0,0.00061,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
7,0,0,0.00061,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
8,0,0,0.00087,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
9,0,0,0.00111,0,0,0,41,144.413,-37.8877,0,0,25,0,-255,0,0,0,0,0,0,0,0
10,0,0,0.00132,0,0,0,41,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
11,0,0,0.00152,0,0,0,41,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
12,0,0,0.00167,0,0,0,41,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
13,0,0,0.00182,0,0,0,41,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
14,0,0,0.001925,0,0,0,40.6,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
15,0,0,0.00203,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
16,0,0,0.00207769,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
17,0,0,0.00212538,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
18,0,0,0.00217308,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
19,0,0,0.00222077,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
20,0,0,0.00226846,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
21,0,0,0.00231615,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
22,0,0,0.00236385,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
23,0,0,0.00241154,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
24,0,0,0.00245923,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
25,0,0,0.00250692,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
26,0,0,0.00255462,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
27,0,0,0.00260231,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
28,0,0,0.00265,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
29,0,0,0.00271,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
30,0,0,0.0028,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
31,0,0,0.00291,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
32,0,0,0.00305,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
33,0,0,0.00315,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
34,0,0,0.00321,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
