Point Number,Distance,Height,Gradient (linear interpolation),,,,,,,,Average Gradients,,,
1,0,101.44,,,,,,,,,Section,,Start,End
2,100.64,101.43,-0.009936407,,,,,,,,1,0.00,0,460
3,199.55,101.46,0.030330604,,,,,,,,2,-0.36,560,700
4,287.15,101.45,-0.011415525,,,,,,,,3,0.23,800,1690
5,368.59,101.43,-0.024557957,,,,,,,,4,0.82,1730,1930
6,461.52,101.44,0.010760788,,,,,,,,5,0.00,2030,2860
7,494.5,101.38,-0.181928441,,,,,,,,6,-0.77,2900,3130
8,527.4,101.28,-0.303951368,,,,,,,,7,-0.23,3240,4080
9,560.4,101.15,-0.393939394,,,,,,,,8,0.33,4160,4320
10,593.4,101.03,-0.363636364,,,,,,,,9,0.00,4520,4780
11,626.3,100.9,-0.395136778,,,,,,,,,,,
12,659.32,100.77,-0.393700787,,,,,,,,,,,
13,696.1,100.66,-0.299075585,,,,,,,,,,,
14,732.9,100.63,-0.081521739,,,,,,,,,,,
15,769.8,100.73,0.27100271,,,,,,,,,,,
16,806.6,100.75,0.054347826,,,,,,,,,,,
17,843.4,100.9,0.407608696,,,,,,,,,,,
18,880.2,100.99,0.244565217,,,,,,,,,,,
19,917,101.04,0.135869565,,,,,,,,,,,
20,953.8,101.13,0.244565217,,,,,,,,,,,
21,990.7,101.17,0.108401084,,,,,,,,,,,
22,1027.5,101.29,0.326086957,,,,,,,,,,,
23,1064.3,101.31,0.054347826,,,,,,,,,,,
24,1101.1,101.47,0.434782609,,,,,,,,,,,
25,1137.9,101.47,0,,,,,,,,,,,
26,1174.7,101.56,0.244565217,,,,,,,,,,,
27,1211.6,101.62,0.162601626,,,,,,,,,,,
28,1248.4,101.75,0.35326087,,,,,,,,,,,
29,1285.2,101.82,0.190217391,,,,,,,,,,,
30,1322,101.83,0.027173913,,,,,,,,,,,
31,1358.8,101.81,-0.054347826,,,,,,,,,,,
32,1395.6,102.01,0.543478261,,,,,,,,,,,
33,1432.5,102.18,0.460704607,,,,,,,,,,,
34,1469.3,102.27,0.244565217,,,,,,,,,,,
35,1506.1,102.35,0.217391304,,,,,,,,,,,
36,1542.9,102.41,0.163043478,,,,,,,,,,,
37,1579.7,102.52,0.298913043,,,,,,,,,,,
38,1616.5,102.63,0.298913043,,,,,,,,,,,
39,1653.4,102.74,0.298102981,,,,,,,,,,,
40,1690.2,102.82,0.217391304,,,,,,,,,,,
41,1727.03,103.14,0.86885691,,,,,,,,,,,
42,1767.8,103.51,0.907530047,,,,,,,,,,,
43,1808.6,103.8,0.710784314,,,,,,,,,,,
44,1846.3,104.15,0.928381963,,,,,,,,,,,
45,1890.1,104.41,0.593607306,,,,,,,,,,,
46,1930.94,104.77,0.881488737,,,,,,,,,,,
47,2031.86,104.85,0.079270709,,,,,,,,,,,
48,2135.56,104.84,-0.009643202,,,,,,,,,,,
49,2233,104.86,0.020525452,,,,,,,,,,,
50,2332,104.91,0.050505051,,,,,,,,,,,
51,2431,104.86,-0.050505051,,,,,,,,,,,
52,2530,104.84,-0.02020202,,,,,,,,,,,
53,2631,104.85,0.00990099,,,,,,,,,,,
54,2709,104.88,0.038461538,,,,,,,,,,,
55,2792,104.81,-0.084337349,,,,,,,,,,,
56,2856,104.77,-0.0625,,,,,,,,,,,
57,2895.4,104.47,-0.76142132,,,,,,,,,,,
58,2934.8,104.17,-0.76142132,,,,,,,,,,,
59,2974.2,103.86,-0.78680203,,,,,,,,,,,
60,3013.6,103.55,-0.78680203,,,,,,,,,,,
61,3053,103.29,-0.659898477,,,,,,,,,,,
62,3091.0,102.85,-1.157894737,,,,,,,,,,,
63,3129.0,102.67,-0.473684211,,,,,,,,,,,
64,3167.0,102.55,-0.315789474,,,,,,,,,,,
65,3205.0,102.53,-0.052631579,,,,,,,,,,,
66,3243.0,102.44,-0.236842105,,,,,,,,,,,
67,3281.0,102.36,-0.210526316,,,,,,,,,,,
68,3319.0,102.25,-0.289473684,,,,,,,,,,,
69,3357.0,102.06,-0.5,,,,,,,,,,,
70,3395.0,101.96,-0.263157895,,,,,,,,,,,
71,3433.0,101.95,-0.026315789,,,,,,,,,,,
72,3471.0,101.9,-0.131578947,,,,,,,,,,,
73,3509.0,101.82,-0.210526316,,,,,,,,,,,
74,3547.0,101.75,-0.184210526,,,,,,,,,,,
75,3585.0,101.62,-0.342105263,,,,,,,,,,,
76,3623.0,101.58,-0.105263158,,,,,,,,,,,
77,3661.0,101.47,-0.289473684,,,,,,,,,,,
78,3699.0,101.36,-0.289473684,,,,,,,,,,,
79,3737.0,101.28,-0.210526316,,,,,,,,,,,
80,3775.0,101.21,-0.184210526,,,,,,,,,,,
81,3813.0,101.08,-0.342105263,,,,,,,,,,,
82,3851.0,100.93,-0.394736842,,,,,,,,,,,
83,3889.0,100.87,-0.157894737,,,,,,,,,,,
84,3927.0,100.86,-0.026315789,,,,,,,,,,,
85,3965.0,100.76,-0.263157895,,,,,,,,,,,
86,4003.0,100.72,-0.105263158,,,,,,,,,,,
87,4041.0,100.66,-0.157894737,,,,,,,,,,,
88,4079.0,100.54,-0.315789474,,,,,,,,,,,
89,4117,100.72,0.473684211,,,,,,,,,,,
90,4156.8,100.83,0.27638191,,,,,,,,,,,
91,4196.6,100.97,0.351758794,,,,,,,,,,,
92,4236.4,101.14,0.427135678,,,,,,,,,,,
93,4276.2,101.25,0.27638191,,,,,,,,,,,
94,4316,101.38,0.326633166,,,,,,,,,,,
95,4416,101.43,0.05,,,,,,,,,,,
96,4517,101.43,0,,,,,,,,,,,
97,4618,101.42,-0.00990099,,,,,,,,,,,
98,4704,101.43,0.011627907,,,,,,,,,,,
99,4782,101.44,0.012820513,,,,,,,,,,,
,,,,,,,,,,,,,,
